 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5790. 5780. 5780. 5780. 5770. 5750. 5740. 5740. 5770. 5780. 5790. 5810. 5820. 5820. 5820. 5820. 5830. 5850. 5860.
 5770. 5770. 5770. 5770. 5760. 5750. 5740. 5730. 5740. 5760. 5760. 5760. 5780. 5790. 5800. 5790. 5790. 5790. 5810. 5840.
 5730. 5730. 5730. 5730. 5730. 5730. 5720. 5720. 5730. 5730. 5720. 5720. 5790. 5780. 5760. 5760. 5740. 5760. 5770. 5800.
 5670. 5650. 5660. 5670. 5670. 5660. 5640. 5660. 5700. 5730. 5720. 5750. 5780. 5760. 5720. 5690. 5690. 5700. 5730. 5770.
 5590. 5580. 5600. 5610. 5620. 5600. 5600. 5610. 5640. 5700. 5730. 5740. 5730. 5720. 5660. 5640. 5640. 5660. 5690. 5740.
 5540. 5550. 5560. 5570. 5560. 5540. 5550. 5570. 5610. 5660. 5690. 5700. 5680. 5640. 5580. 5560. 5570. 5590. 5640. 5700.
 5540. 5530. 5540. 5540. 5500. 5480. 5480. 5520. 5560. 5620. 5650. 5650. 5640. 5570. 5500. 5480. 5500. 5550. 5610. 5660.
 5590. 5560. 5520. 5490. 5450. 5420. 5420. 5460. 5500. 5560. 5600. 5610. 5580. 5480. 5400. 5360. 5400. 5490. 5560. 5640.
 5590. 5560. 5500. 5460. 5410. 5380. 5370. 5390. 5440. 5500. 5560. 5580. 5540. 5370. 5240. 5240. 5320. 5400. 5530. 5600.
 5580. 5520. 5470. 5420. 5360. 5320. 5330. 5320. 5370. 5430. 5490. 5530. 5480. 5350. 5240. 5230. 5260. 5350. 5480. 5560.
 5530. 5480. 5420. 5350. 5280. 5240. 5240. 5280. 5330. 5400. 5470. 5500. 5490. 5400. 5300. 5270. 5290. 5330. 5450. 5510.
 5470. 5400. 5350. 5260. 5220. 5200. 5220. 5230. 5290. 5360. 5460. 5510. 5500. 5440. 5400. 5360. 5360. 5410. 5450. 5520.
 5380. 5330. 5270. 5230. 5200. 5190. 5190. 5220. 5250. 5350. 5460. 5520. 5550. 5490. 5460. 5440. 5430. 5430. 5470. 5520.
 5290. 5250. 5220. 5200. 5190. 5190. 5190. 5200. 5240. 5350. 5460. 5520. 5560. 5560. 5500. 5460. 5450. 5460. 5480. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
